-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2004 through 02/25/2004 
Location: Latitude  -37.8639   Longitude 145.154 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 58.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M
2004,1,7,15,10.53,285.31
2004,1,7,16,10.65,274.84
2004,1,7,17,10.32,259.8
2004,1,7,18,9.11,255.59
2004,1,7,19,8.39,259.05
2004,1,7,20,8.81,265.63
2004,1,7,21,9.31,272.65
2004,1,7,22,9.76,278.98
2004,1,7,23,10.33,281.52
2004,1,8,0,10.65,280.95
2004,1,8,1,10.81,279.61
2004,1,8,2,10.86,277.07
2004,1,8,3,10.68,275.12
2004,1,8,4,10.46,276.3
2004,1,8,5,10.52,277.64
2004,1,8,6,11.04,275.15
2004,1,8,7,11.99,268.39
2004,1,8,8,12.38,261.91
2004,1,8,9,12.27,257.42
2004,1,8,10,11.96,255.13
2004,1,8,11,11.67,254.19
2004,1,8,12,11.42,254.0
2004,1,8,13,11.09,253.13
2004,1,8,14,11.08,251.63
2004,1,8,15,11.33,249.54
2004,1,8,16,11.36,246.49
2004,1,8,17,11.16,244.85
2004,1,8,18,10.92,243.89
2004,1,8,19,10.08,244.13
2004,1,8,20,9.28,248.73
2004,1,8,21,8.87,255.83
2004,1,8,22,8.69,263.08
2004,1,8,23,8.22,271.03
2004,1,9,0,7.68,280.91
2004,1,9,1,7.43,288.76
2004,1,9,2,7.33,294.57
2004,1,9,3,7.4,298.11
2004,1,9,4,7.31,301.94
2004,1,9,5,7.12,305.76
2004,1,9,6,7.11,302.8
2004,1,9,7,8.06,290.79
2004,1,9,8,7.91,289.92
2004,1,9,9,7.61,293.46
2004,1,9,10,7.58,296.78
2004,1,9,11,7.8,298.03
2004,1,9,12,8.07,297.56
2004,1,9,13,8.13,295.26
2004,1,9,14,7.99,290.24
2004,1,9,15,7.76,283.69
2004,1,9,16,7.42,276.65
2004,1,9,17,7.01,268.91
2004,1,9,18,6.31,258.58
2004,1,9,19,5.61,245.72
2004,1,9,20,4.73,234.47
2004,1,9,21,3.9,226.3
2004,1,9,22,3.04,224.48
2004,1,9,23,1.95,230.69
2004,1,10,0,1.4,253.48
2004,1,10,1,1.81,278.45
2004,1,10,2,2.72,288.96
2004,1,10,3,3.76,290.92
2004,1,10,4,4.5,292.78
2004,1,10,5,4.89,296.77
2004,1,10,6,5.08,296.8
2004,1,10,7,5.72,297.93
2004,1,10,8,6.28,297.59
2004,1,10,9,6.54,297.05
2004,1,10,10,6.54,296.93
2004,1,10,11,6.63,295.27
2004,1,10,12,6.69,291.95
2004,1,10,13,6.95,286.05
2004,1,10,14,7.17,276.51
2004,1,10,15,7.1,263.3
2004,1,10,16,6.79,249.37
2004,1,10,17,6.31,235.29
2004,1,10,18,5.63,219.65
2004,1,10,19,5.97,206.5
2004,1,10,20,6.9,202.15
2004,1,10,21,7.12,204.65
2004,1,10,22,6.21,210.79
2004,1,10,23,5.77,226.26
2004,1,11,0,5.89,240.55
2004,1,11,1,6.12,250.55
2004,1,11,2,6.05,257.33
2004,1,11,3,5.89,261.45
2004,1,11,4,5.61,264.0
2004,1,11,5,5.45,260.17
2004,1,11,6,5.94,241.08
2004,1,11,7,6.28,227.12
2004,1,11,8,5.96,224.52
2004,1,11,9,5.81,222.77
2004,1,11,10,5.68,220.82
2004,1,11,11,5.48,216.25
2004,1,11,12,5.35,210.09
2004,1,11,13,5.2,201.71
2004,1,11,14,5.28,193.71
2004,1,11,15,5.52,188.05
2004,1,11,16,5.89,183.65
2004,1,11,17,6.14,180.0
2004,1,11,18,6.17,176.95
2004,1,11,19,6.01,175.53
2004,1,11,20,5.77,174.8
2004,1,11,21,5.65,174.21
2004,1,11,22,5.47,174.67
2004,1,11,23,5.19,175.51
2004,1,12,0,4.84,174.54
2004,1,12,1,4.56,170.94
2004,1,12,2,4.4,167.39
2004,1,12,3,4.46,165.4
2004,1,12,4,4.45,162.96
2004,1,12,5,4.33,159.08
2004,1,12,6,4.07,153.04
2004,1,12,7,3.89,151.58
2004,1,12,8,3.65,154.75
2004,1,12,9,3.63,161.95
2004,1,12,10,3.72,171.55
2004,1,12,11,4.0,182.35
2004,1,12,12,4.51,189.58
2004,1,12,13,5.11,191.38
2004,1,12,14,5.41,188.47
2004,1,12,15,5.43,184.46
2004,1,12,16,5.58,182.81
2004,1,12,17,5.78,180.08
2004,1,12,18,5.89,174.75
2004,1,12,19,5.9,168.15
2004,1,12,20,6.1,161.4
2004,1,12,21,6.13,155.23
2004,1,12,22,5.76,152.25
2004,1,12,23,5.43,152.03
2004,1,13,0,5.3,154.53
2004,1,13,1,5.17,158.36
2004,1,13,2,4.96,159.14
2004,1,13,3,4.56,155.59
2004,1,13,4,3.95,147.69
2004,1,13,5,3.11,133.47
2004,1,13,6,2.19,114.92
2004,1,13,7,1.18,82.03
2004,1,13,8,1.19,18.32
2004,1,13,9,2.58,324.0
2004,1,13,10,4.24,297.46
2004,1,13,11,4.92,276.93
2004,1,13,12,5.26,259.21
2004,1,13,13,5.81,240.26
2004,1,13,14,7.05,219.83
2004,1,13,15,8.49,203.99
2004,1,13,16,8.77,192.08
2004,1,13,17,7.98,186.41
2004,1,13,18,6.92,187.79
2004,1,13,19,5.66,192.27
2004,1,13,20,5.03,197.9
2004,1,13,21,5.38,214.82
2004,1,13,22,6.94,234.34
2004,1,13,23,7.64,240.6
2004,1,14,0,7.74,235.52
2004,1,14,1,8.58,226.85
2004,1,14,2,8.99,222.89
2004,1,14,3,9.0,221.02
2004,1,14,4,8.63,218.42
2004,1,14,5,8.14,214.96
2004,1,14,6,8.09,210.08
2004,1,14,7,7.73,205.43
2004,1,14,8,7.28,201.8
2004,1,14,9,7.09,200.11
2004,1,14,10,6.9,199.44
2004,1,14,11,6.86,197.9
2004,1,14,12,7.23,195.67
2004,1,14,13,7.11,192.69
2004,1,14,14,6.8,190.73
2004,1,14,15,6.61,189.45
2004,1,14,16,6.64,188.04
2004,1,14,17,6.66,185.66
2004,1,14,18,6.47,182.49
2004,1,14,19,6.24,179.43
2004,1,14,20,6.16,177.31
2004,1,14,21,6.06,176.82
2004,1,14,22,5.87,177.48
2004,1,14,23,5.55,177.26
2004,1,15,0,5.27,176.69
2004,1,15,1,4.98,174.69
2004,1,15,2,4.63,170.49
2004,1,15,3,4.26,165.56
2004,1,15,4,3.91,159.75
2004,1,15,5,3.56,155.91
2004,1,15,6,3.29,153.92
2004,1,15,7,3.15,158.28
2004,1,15,8,3.17,166.89
2004,1,15,9,3.01,171.64
2004,1,15,10,2.88,177.51
2004,1,15,11,3.23,185.97
2004,1,15,12,3.79,190.2
2004,1,15,13,4.12,190.5
2004,1,15,14,4.44,190.04
2004,1,15,15,4.92,187.94
2004,1,15,16,5.53,184.13
2004,1,15,17,6.1,178.68
2004,1,15,18,6.43,171.76
2004,1,15,19,6.4,166.66
2004,1,15,20,6.25,162.99
2004,1,15,21,6.04,158.52
2004,1,15,22,5.67,154.03
2004,1,15,23,5.28,151.54
2004,1,16,0,5.0,151.03
2004,1,16,1,5.0,151.51
2004,1,16,2,5.06,151.74
2004,1,16,3,5.04,151.05
2004,1,16,4,4.8,150.27
2004,1,16,5,4.4,147.92
2004,1,16,6,3.76,144.3
2004,1,16,7,2.88,146.18
2004,1,16,8,1.98,157.78
2004,1,16,9,1.29,184.5
2004,1,16,10,1.35,239.72
2004,1,16,11,2.15,253.54
2004,1,16,12,2.62,232.89
2004,1,16,13,3.39,206.98
2004,1,16,14,4.45,193.09
2004,1,16,15,5.92,186.9
2004,1,16,16,7.83,182.63
2004,1,16,17,9.34,180.82
2004,1,16,18,9.26,180.29
2004,1,16,19,8.52,182.79
2004,1,16,20,7.71,184.82
2004,1,16,21,7.07,186.6
2004,1,16,22,6.71,189.65
2004,1,16,23,6.35,191.64
2004,1,17,0,6.06,193.8
2004,1,17,1,5.93,198.43
2004,1,17,2,6.1,202.36
2004,1,17,3,6.34,204.99
2004,1,17,4,6.46,207.99
2004,1,17,5,6.91,209.99
2004,1,17,6,7.97,210.56
2004,1,17,7,8.52,211.08
2004,1,17,8,8.84,211.85
2004,1,17,9,8.92,215.85
2004,1,17,10,8.95,221.18
2004,1,17,11,8.66,225.55
2004,1,17,12,8.29,228.36
2004,1,17,13,8.26,228.41
2004,1,17,14,8.65,225.99
2004,1,17,15,9.41,224.02
2004,1,17,16,10.12,222.18
2004,1,17,17,10.16,223.13
2004,1,17,18,10.05,225.66
2004,1,17,19,10.03,227.11
2004,1,17,20,9.91,228.58
2004,1,17,21,9.7,231.25
2004,1,17,22,9.3,233.64
2004,1,17,23,8.68,236.27
2004,1,18,0,8.32,238.47
2004,1,18,1,8.24,237.5
2004,1,18,2,8.03,234.3
2004,1,18,3,7.67,231.66
2004,1,18,4,7.6,228.75
2004,1,18,5,7.59,224.92
2004,1,18,6,7.24,219.13
2004,1,18,7,7.07,211.81
2004,1,18,8,6.59,210.0
2004,1,18,9,6.24,209.01
2004,1,18,10,6.12,206.53
2004,1,18,11,6.16,202.76
2004,1,18,12,6.12,198.6
2004,1,18,13,5.89,194.05
2004,1,18,14,5.75,190.49
2004,1,18,15,5.86,187.2
2004,1,18,16,5.83,181.23
2004,1,18,17,5.51,173.32
2004,1,18,18,5.18,165.06
2004,1,18,19,5.27,156.21
2004,1,18,20,5.56,149.73
2004,1,18,21,5.63,146.09
2004,1,18,22,5.64,142.72
2004,1,18,23,5.68,137.51
2004,1,19,0,5.63,129.03
2004,1,19,1,5.51,119.88
2004,1,19,2,5.46,112.56
2004,1,19,3,5.33,106.68
2004,1,19,4,4.87,100.44
2004,1,19,5,3.86,87.33
2004,1,19,6,2.52,58.43
2004,1,19,7,3.14,11.79
2004,1,19,8,5.44,348.56
2004,1,19,9,6.16,345.24
2004,1,19,10,6.44,347.25
2004,1,19,11,6.56,350.89
2004,1,19,12,6.71,354.46
2004,1,19,13,6.84,356.86
2004,1,19,14,6.92,358.64
2004,1,19,15,6.92,-0.0
2004,1,19,16,6.96,1.61
2004,1,19,17,6.95,3.74
2004,1,19,18,6.76,8.44
2004,1,19,19,7.36,13.14
2004,1,19,20,7.82,14.99
2004,1,19,21,7.87,12.67
2004,1,19,22,7.81,5.17
2004,1,19,23,8.12,358.13
2004,1,20,0,8.68,357.78
2004,1,20,1,9.06,1.09
2004,1,20,2,8.74,9.67
2004,1,20,3,9.06,16.33
2004,1,20,4,9.16,18.71
2004,1,20,5,9.39,17.32
2004,1,20,6,9.1,13.61
2004,1,20,7,9.2,8.79
2004,1,20,8,12.57,353.68
2004,1,20,9,14.81,341.8
2004,1,20,10,14.73,336.52
2004,1,20,11,13.75,331.64
2004,1,20,12,12.28,325.0
2004,1,20,13,10.49,318.44
2004,1,20,14,8.58,310.49
2004,1,20,15,6.14,290.0
2004,1,20,16,5.26,254.85
2004,1,20,17,5.62,221.45
2004,1,20,18,7.12,198.49
2004,1,20,19,7.01,185.05
2004,1,20,20,6.0,176.56
2004,1,20,21,4.92,174.44
2004,1,20,22,4.17,176.56
2004,1,20,23,3.91,179.89
2004,1,21,0,3.75,186.58
2004,1,21,1,3.31,195.05
2004,1,21,2,2.88,197.85
2004,1,21,3,2.47,192.23
2004,1,21,4,1.94,187.18
2004,1,21,5,1.73,180.26
2004,1,21,6,1.67,187.79
2004,1,21,7,2.18,214.03
2004,1,21,8,2.89,233.25
2004,1,21,9,3.38,247.76
2004,1,21,10,3.81,255.17
2004,1,21,11,4.22,252.67
2004,1,21,12,4.78,245.87
2004,1,21,13,5.24,239.96
2004,1,21,14,5.81,233.7
2004,1,21,15,6.08,223.8
2004,1,21,16,5.9,210.91
2004,1,21,17,5.68,192.64
2004,1,21,18,6.17,176.15
2004,1,21,19,6.56,165.67
2004,1,21,20,6.3,159.93
2004,1,21,21,5.44,160.0
2004,1,21,22,4.13,166.23
2004,1,21,23,3.17,179.86
2004,1,22,0,2.99,207.5
2004,1,22,1,3.58,232.28
2004,1,22,2,4.59,244.79
2004,1,22,3,5.79,248.7
2004,1,22,4,6.48,248.79
2004,1,22,5,6.47,248.17
2004,1,22,6,6.5,246.77
2004,1,22,7,6.16,246.13
2004,1,22,8,5.74,244.87
2004,1,22,9,5.54,241.38
2004,1,22,10,5.33,237.15
2004,1,22,11,5.16,231.39
2004,1,22,12,5.24,221.61
2004,1,22,13,5.52,207.47
2004,1,22,14,5.92,194.84
2004,1,22,15,6.4,185.88
2004,1,22,16,6.76,180.53
2004,1,22,17,6.79,177.83
2004,1,22,18,6.55,176.51
2004,1,22,19,6.23,176.19
2004,1,22,20,6.06,174.67
2004,1,22,21,5.99,171.59
2004,1,22,22,5.78,168.71
2004,1,22,23,5.33,164.97
2004,1,23,0,4.87,162.15
2004,1,23,1,4.55,161.69
2004,1,23,2,4.44,161.66
2004,1,23,3,4.31,160.32
2004,1,23,4,4.02,156.87
2004,1,23,5,3.72,151.93
2004,1,23,6,3.32,149.15
2004,1,23,7,2.88,149.54
2004,1,23,8,2.62,156.42
2004,1,23,9,2.51,170.86
2004,1,23,10,2.52,190.16
2004,1,23,11,2.85,205.16
2004,1,23,12,3.3,205.41
2004,1,23,13,3.81,197.17
2004,1,23,14,4.42,188.75
2004,1,23,15,5.2,182.67
2004,1,23,16,6.13,178.69
2004,1,23,17,6.89,175.77
2004,1,23,18,7.19,174.76
2004,1,23,19,7.1,174.95
2004,1,23,20,6.87,174.06
2004,1,23,21,6.51,169.97
2004,1,23,22,6.2,164.28
2004,1,23,23,5.74,160.04
2004,1,24,0,5.34,155.99
2004,1,24,1,4.88,154.3
2004,1,24,2,4.47,157.06
2004,1,24,3,4.28,163.22
2004,1,24,4,4.26,168.79
2004,1,24,5,4.33,173.36
2004,1,24,6,4.12,175.22
2004,1,24,7,3.49,179.1
2004,1,24,8,3.1,181.88
2004,1,24,9,2.96,182.73
2004,1,24,10,2.94,183.35
2004,1,24,11,3.15,189.72
2004,1,24,12,3.58,196.5
2004,1,24,13,4.51,199.85
2004,1,24,14,5.52,197.2
2004,1,24,15,6.14,192.05
2004,1,24,16,6.43,187.89
2004,1,24,17,6.39,184.77
2004,1,24,18,6.14,181.31
2004,1,24,19,5.9,176.43
2004,1,24,20,5.86,171.42
2004,1,24,21,5.91,167.86
2004,1,24,22,5.76,164.02
2004,1,24,23,5.54,160.06
2004,1,25,0,5.35,155.79
2004,1,25,1,5.26,151.46
2004,1,25,2,5.33,149.45
2004,1,25,3,5.44,150.19
2004,1,25,4,5.6,152.04
2004,1,25,5,5.62,152.86
2004,1,25,6,5.91,152.42
2004,1,25,7,5.87,154.05
2004,1,25,8,5.62,157.25
2004,1,25,9,5.33,160.48
2004,1,25,10,5.08,166.2
2004,1,25,11,5.16,175.75
2004,1,25,12,5.75,185.54
2004,1,25,13,6.5,191.09
2004,1,25,14,7.19,193.89
2004,1,25,15,7.61,193.48
2004,1,25,16,7.76,190.14
2004,1,25,17,7.73,185.92
2004,1,25,18,7.53,181.61
2004,1,25,19,7.07,178.29
2004,1,25,20,6.69,175.51
2004,1,25,21,6.53,167.99
2004,1,25,22,6.82,154.43
2004,1,25,23,6.73,146.88
2004,1,26,0,6.66,141.19
2004,1,26,1,6.37,142.68
2004,1,26,2,6.32,149.95
2004,1,26,3,6.63,151.65
2004,1,26,4,6.99,146.77
2004,1,26,5,7.05,142.75
2004,1,26,6,6.67,139.22
2004,1,26,7,6.81,129.83
2004,1,26,8,6.42,126.28
2004,1,26,9,5.84,130.28
2004,1,26,10,5.44,138.96
2004,1,26,11,5.36,148.28
2004,1,26,12,5.5,158.4
2004,1,26,13,5.9,168.63
2004,1,26,14,6.44,176.18
2004,1,26,15,6.79,182.24
2004,1,26,16,7.48,189.26
2004,1,26,17,7.83,190.17
2004,1,26,18,7.38,187.05
2004,1,26,19,6.48,181.8
2004,1,26,20,5.53,170.9
2004,1,26,21,5.1,160.48
2004,1,26,22,5.27,145.58
2004,1,26,23,5.76,130.76
2004,1,27,0,5.55,129.81
2004,1,27,1,5.23,134.21
2004,1,27,2,5.03,136.45
2004,1,27,3,4.77,136.0
2004,1,27,4,4.33,136.1
2004,1,27,5,3.87,138.11
2004,1,27,6,3.6,134.65
2004,1,27,7,3.23,129.5
2004,1,27,8,2.16,133.53
2004,1,27,9,1.17,176.54
2004,1,27,10,1.92,236.96
2004,1,27,11,3.32,249.05
2004,1,27,12,4.38,249.89
2004,1,27,13,4.84,243.31
2004,1,27,14,5.06,232.4
2004,1,27,15,5.32,216.05
2004,1,27,16,5.96,201.15
2004,1,27,17,6.63,192.51
2004,1,27,18,6.59,189.42
2004,1,27,19,5.92,194.37
2004,1,27,20,5.2,205.53
2004,1,27,21,4.83,220.8
2004,1,27,22,5.11,237.35
2004,1,27,23,5.87,247.36
2004,1,28,0,6.42,253.46
2004,1,28,1,6.46,258.49
2004,1,28,2,6.0,264.24
2004,1,28,3,5.48,272.37
2004,1,28,4,5.21,279.41
2004,1,28,5,5.1,285.38
2004,1,28,6,4.9,286.5
2004,1,28,7,4.41,290.97
2004,1,28,8,4.05,297.21
2004,1,28,9,3.82,296.25
2004,1,28,10,3.71,288.28
2004,1,28,11,3.7,277.77
2004,1,28,12,3.63,270.12
2004,1,28,13,3.7,261.63
2004,1,28,14,4.19,250.86
2004,1,28,15,4.92,239.49
2004,1,28,16,5.71,230.89
2004,1,28,17,6.17,227.36
2004,1,28,18,5.7,225.61
2004,1,28,19,4.35,222.89
2004,1,28,20,2.99,215.64
2004,1,28,21,1.98,204.54
2004,1,28,22,1.18,185.71
2004,1,28,23,0.54,154.18
2004,1,29,0,0.5,41.19
2004,1,29,1,0.94,54.46
2004,1,29,2,1.27,86.82
2004,1,29,3,1.54,94.38
2004,1,29,4,1.51,84.35
2004,1,29,5,1.26,60.26
2004,1,29,6,1.08,32.31
2004,1,29,7,0.97,32.54
2004,1,29,8,0.85,51.75
2004,1,29,9,0.5,67.86
2004,1,29,10,0.06,240.26
2004,1,29,11,0.7,242.86
2004,1,29,12,1.58,227.61
2004,1,29,13,2.88,213.73
2004,1,29,14,4.12,207.2
2004,1,29,15,4.72,204.44
2004,1,29,16,4.78,204.93
2004,1,29,17,4.36,209.64
2004,1,29,18,3.53,217.53
2004,1,29,19,2.49,223.98
2004,1,29,20,1.51,228.79
2004,1,29,21,0.76,241.06
2004,1,29,22,0.42,264.61
2004,1,29,23,0.36,300.96
2004,1,30,0,0.16,11.31
2004,1,30,1,0.84,121.33
2004,1,30,2,1.78,136.24
2004,1,30,3,2.58,152.19
2004,1,30,4,3.44,167.67
2004,1,30,5,4.12,180.76
2004,1,30,6,4.33,191.76
2004,1,30,7,4.27,195.95
2004,1,30,8,4.37,197.79
2004,1,30,9,4.71,196.27
2004,1,30,10,5.27,191.29
2004,1,30,11,5.94,187.02
2004,1,30,12,6.54,184.73
2004,1,30,13,7.2,183.11
2004,1,30,14,7.58,182.95
2004,1,30,15,7.62,183.65
2004,1,30,16,7.37,184.99
2004,1,30,17,6.88,187.44
2004,1,30,18,6.22,190.21
2004,1,30,19,5.85,192.11
2004,1,30,20,5.67,191.12
2004,1,30,21,5.56,190.69
2004,1,30,22,5.55,193.59
2004,1,30,23,5.66,198.26
2004,1,31,0,5.82,205.43
2004,1,31,1,6.17,212.22
2004,1,31,2,6.54,218.06
2004,1,31,3,6.69,223.11
2004,1,31,4,6.76,224.34
2004,1,31,5,6.63,225.14
2004,1,31,6,6.46,223.82
2004,1,31,7,6.2,219.69
2004,1,31,8,5.98,212.47
2004,1,31,9,5.55,203.9
2004,1,31,10,5.21,195.66
2004,1,31,11,5.26,191.56
2004,1,31,12,5.38,190.28
2004,1,31,13,5.48,191.01
2004,1,31,14,5.57,192.07
2004,1,31,15,5.7,192.44
2004,1,31,16,5.84,191.81
2004,1,31,17,5.98,190.09
2004,1,31,18,6.02,187.98
2004,1,31,19,6.05,185.93
2004,1,31,20,6.07,185.76
2004,1,31,21,5.73,187.91
2004,1,31,22,5.29,193.32
2004,1,31,23,5.05,202.95
2004,2,1,0,5.2,215.53
2004,2,1,1,5.43,226.87
2004,2,1,2,5.64,234.35
2004,2,1,3,5.62,238.3
2004,2,1,4,5.43,241.37
2004,2,1,5,5.21,244.78
2004,2,1,6,4.91,246.17
2004,2,1,7,4.57,240.58
2004,2,1,8,4.32,233.84
2004,2,1,9,4.2,226.21
2004,2,1,10,4.37,219.04
2004,2,1,11,4.87,214.86
2004,2,1,12,5.68,211.79
2004,2,1,13,6.6,208.32
2004,2,1,14,7.29,205.58
2004,2,1,15,7.54,203.56
2004,2,1,16,7.31,201.19
2004,2,1,17,6.78,199.79
2004,2,1,18,6.22,202.54
2004,2,1,19,5.9,208.19
2004,2,1,20,6.14,207.51
2004,2,1,21,6.69,206.27
2004,2,1,22,7.3,205.91
2004,2,1,23,7.6,206.96
2004,2,2,0,7.5,209.72
2004,2,2,1,7.02,213.11
2004,2,2,2,6.68,216.53
2004,2,2,3,6.89,217.53
2004,2,2,4,7.13,215.87
2004,2,2,5,7.4,213.67
2004,2,2,6,7.37,212.75
2004,2,2,7,7.87,212.02
2004,2,2,8,8.05,212.35
2004,2,2,9,8.19,212.14
2004,2,2,10,8.21,211.89
2004,2,2,11,8.1,211.64
2004,2,2,12,8.21,210.71
2004,2,2,13,8.34,207.86
2004,2,2,14,8.51,204.8
2004,2,2,15,8.61,202.91
2004,2,2,16,8.52,201.63
2004,2,2,17,8.41,201.06
2004,2,2,18,8.31,201.16
2004,2,2,19,8.3,202.41
2004,2,2,20,8.36,203.69
2004,2,2,21,8.46,204.96
2004,2,2,22,8.59,206.45
2004,2,2,23,8.59,206.24
2004,2,3,0,8.32,205.58
2004,2,3,1,7.98,204.63
2004,2,3,2,7.88,204.0
2004,2,3,3,7.71,202.83
2004,2,3,4,7.54,201.01
2004,2,3,5,7.36,198.57
2004,2,3,6,7.49,195.12
2004,2,3,7,7.54,192.02
2004,2,3,8,7.28,189.51
